'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Tx ADC Temperature(°C),'PA Forward Power(V),'PA Reverse Power(V),'PA Control Signal(V),'3V Analog Supply Current PA(mA),'5V Supply(V),'Synthesizer Temperature(°C),'3V Analog Supply Voltage PA(V),'Power Amplifier Temperature(°C),'5V Supply Current(mA),'3V Analog Supply Current CB(mA),'3V VCO Supply Current(mA),'3V Digital Supply Current(mA),'Synthesizer Lock A(V),'Synthesizer Lock B(V),'3V Analog Supply Voltage CB(V),'3V Digital Supply Voltage CB(V)
2014-01-08 08:05:44,691,442440411875,18.25,0.00305175,1.13586,0.012207,93.4075,4.95362,16.7672,2.94921,9.44298,480.83,149.292,39.9049,9.32844,2.94912,2.93691,2.9663,2.98461
2014-01-08 09:33:40,798,442445687982,5.375,0.0036621,1.1145,0.0115967,92.4085,4.96095,4.56016,2.95531,3.33946,465.934,145.63,39.9604,9.45054,2.95482,2.9418,2.9724,2.98949
2014-01-08 09:34:41,184,442445748368,7.75,0.0036621,1.10962,0.0115967,92.686,4.9585,6.39122,2.95409,5.17051,462.759,145.63,39.6829,9.26739,2.95319,2.94017,2.97118,2.98827
2014-01-08 09:35:41,581,442445808765,9.75,0.00305175,1.12243,0.0115967,93.019,4.95606,8.22227,2.95287,5.78086,488.888,146.24,39.7939,9.79242,2.95238,2.93935,2.96996,2.98705
2014-01-08 09:36:42,564,442445869748,11.375,1.28235,1.13952,2.11791,95.794,4.95362,10.0533,2.95165,6.39122,483.028,146.484,40.0159,9.37728,2.95156,2.93854,2.96874,2.98705
2014-01-08 09:37:42,953,442445930137,12.625,0.210571,1.1383,0.0109863,92.02,4.95362,11.274,2.95165,7.00157,478.144,147.339,39.9604,9.38949,2.95156,2.93854,2.96874,2.98583
2014-01-08 09:38:43,260,442445990444,13.75,0.00427245,1.13159,0.380858,94.462,4.95606,12.4947,2.95043,7.61192,466.178,147.339,39.9049,9.30402,2.95075,2.93773,2.96874,2.98583
2014-01-08 09:39:44,650,442446051834,16.875,1.85668,1.12793,0.0115967,91.687,4.95362,13.1051,2.95043,8.22227,486.446,148.926,39.7384,9.56043,2.95075,2.93773,2.96752,2.98583
2014-01-08 09:40:44,928,442446112112,15.75,0.0024414,1.12732,0.012207,93.4075,4.95362,14.3258,2.94921,8.22227,475.946,149.536,39.7384,9.30402,2.95075,2.93773,2.96752,2.98583
2014-01-08 09:41:45,276,442446172460,16.5,0.0909421,1.1322,1.05407,93.685,4.95362,14.9361,2.94921,8.83262,476.19,149.414,39.6829,9.08424,2.95075,2.93691,2.96752,2.98583
2014-01-08 09:42:46,940,442446234124,17.125,0.0036621,1.13159,0.012207,93.13,4.95362,15.5465,2.94921,9.44298,475.702,148.926,39.8494,9.04761,2.94994,2.93691,2.9663,2.98461
2014-01-08 09:43:47,95,442446294279,17.875,0.00427245,1.13281,0.0115967,93.1855,4.95606,16.1568,2.94921,10.0533,480.341,149.414,39.6274,9.12087,2.94994,2.93691,2.9663,2.98461
