'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Reset Reason,'Reset Count,'SEU Count,'Ping Pointer,'Control Pointer,'Battery Temperature(°C),'Heater On,'Mode,'Bus Voltage(V),'Battery Voltage(V),'Battery Current(mA),'State of Charge(mA*h),'Bus Target(V),'Discharge Command
2014-02-10 17:58:35,196,445327182380,0,0,0,0,0,14.6425,0,Fixed,4.19558,3.76522,1365.08,90.3249,4.2,0
2014-02-10 17:59:38,380,445327245564,0,0,0,0,0,0,0,Fault,0,0,0,0,0,0
2014-02-10 18:00:38,500,445327305684,0,0,0,0,0,14.6425,0,Fixed,4.93115,4.10047,-1227.03,114.395,4.2,0
2014-02-10 18:01:39,154,445327366338,0,0,0,0,0,14.6425,0,Fixed,5.07731,4.10641,-868.813,96.2077,4.2,0
2014-02-10 18:02:45,126,445327432310,0,0,0,0,0,0,0,Fault,0,0,0,0,0,0
2014-02-10 18:03:45,254,445327492438,0,0,0,0,0,14.6425,0,Fixed,5.15623,4.1015,-928.056,63.8625,4.2,0
2014-02-10 18:04:45,380,445327552564,0,0,0,0,0,15.2553,0,Fixed,5.09808,4.10078,-832.164,50.0085,4.2,0
2014-02-10 18:05:45,526,445327612710,0,0,0,0,0,14.6425,0,Fixed,4.94976,4.11072,-797.169,36.7023,4.2,0
2014-02-10 18:06:45,640,445327672824,0,0,0,0,0,1699.2,0,Fixed,5.19993,4.13553,-852.831,23.7487,4.2,0
2014-02-10 18:07:45,777,445327732961,0,0,0,0,0,14.6425,0,Fixed,5.27085,4.10872,-979.309,11.2487,4.2,0
2014-02-10 18:08:45,891,445327793075,0,0,0,0,0,14.0301,0,Fixed,5.30239,4.09866,-333.692,0,4.2,0
2014-02-10 18:09:46,13,445327853197,0,0,0,0,0,14.0301,0,Fixed,5.19577,4.12791,-678.682,0,4.2,0
