'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'HKC Temperature(°C),'Reset Count,'Last Reset Reason
2014-02-17 00:00:18,558,445867285742,15.9311,0,0x00008000
2014-02-17 00:01:23,564,445867350748,16.2376,0,0x00008000
2014-02-17 00:02:28,571,445867415755,16.5436,0,0x00008000
2014-02-17 00:03:33,581,445867480765,16.9255,0,0x00008000
2014-02-17 00:04:38,627,445867545811,17.0018,0,0x00008000
2014-02-17 00:05:43,600,445867610784,17.5352,0,0x00008000
2014-02-17 00:06:48,609,445867675793,17.7636,0,0x00008000
2014-02-17 00:07:53,609,445867740793,18.0678,0,0x00008000
2014-02-17 00:08:58,639,445867805823,18.2957,0,0x00008000
2014-02-17 00:10:03,623,445867870807,18.3717,0,0x00008000
2014-02-17 00:11:08,680,445867935864,18.8273,0,0x00008000
2014-02-17 00:12:13,671,445868000855,18.9791,0,0x00008000
2014-02-17 00:13:18,669,445868065853,19.2826,0,0x00008000
2014-02-17 00:14:23,678,445868130862,19.8894,0,0x00008000
2014-02-17 00:15:28,704,445868195888,19.9652,0,0x00008000
2014-02-17 00:16:33,688,445868260872,20.3444,0,0x00008000
2014-02-17 00:17:38,723,445868325907,20.7237,0,0x00008000
2014-02-17 00:18:43,785,445868390969,20.8755,0,0x00008000
2014-02-17 00:19:48,741,445868455925,21.255,0,0x00008000
2014-02-17 00:20:53,747,445868520931,21.5588,0,0x00008000
2014-02-17 00:21:58,775,445868585959,21.7868,0,0x00008000
2014-02-17 00:23:03,765,445868650949,22.1671,0,0x00008000
2014-02-17 00:24:08,771,445868715955,22.6241,0,0x00008000
2014-02-17 00:25:13,817,445868781001,22.7766,0,0x00008000
2014-02-17 00:26:18,782,445868845966,23.0055,0,0x00008000
2014-02-17 00:27:23,789,445868910973,23.311,0,0x00008000
2014-02-17 00:28:28,796,445868975980,23.6935,0,0x00008000
2014-02-17 00:29:33,802,445869040986,23.9233,0,0x00008000
2014-02-17 00:30:38,813,445869105997,24.2303,0,0x00008000
2014-02-17 00:31:43,878,445869171062,24.4608,0,0x00008000
2014-02-17 00:32:48,854,445869236038,24.5377,0,0x00008000
2014-02-17 00:33:53,858,445869301042,24.6917,0,0x00008000
2014-02-17 00:34:58,865,445869366049,25.1544,0,0x00008000
2014-02-17 00:36:03,875,445869431059,25.1544,0,0x00008000
2014-02-17 00:37:08,882,445869496066,25.3863,0,0x00008000
2014-02-17 00:38:13,947,445869561131,25.6186,0,0x00008000
2014-02-17 00:39:18,911,445869626095,25.5412,0,0x00008000
2014-02-17 00:40:23,917,445869691101,25.5412,0,0x00008000
2014-02-17 00:41:28,918,445869756102,25.6186,0,0x00008000
2014-02-17 00:42:33,929,445869821113,25.309,0,0x00008000
2014-02-17 00:43:38,940,445869886124,25.1544,0,0x00008000
2014-02-17 00:44:44,2,445869951186,25,0,0x00008000
2014-02-17 00:45:48,978,445870016162,24.6917,0,0x00008000
2014-02-17 00:46:53,985,445870081169,24.5377,0,0x00008000
2014-02-17 00:47:58,992,445870146176,23.9233,0,0x00008000
2014-02-17 00:49:03,999,445870211183,23.6935,0,0x00008000
2014-02-17 00:50:09,9,445870276193,23.311,0,0x00008000
2014-02-17 00:51:14,19,445870341203,22.8528,0,0x00008000
2014-02-17 00:52:19,62,445870406246,22.3955,0,0x00008000
2014-02-17 00:53:24,34,445870471218,21.7868,0,0x00008000
2014-02-17 00:54:29,40,445870536224,21.331,0,0x00008000
2014-02-17 00:55:34,70,445870601254,20.7996,0,0x00008000
2014-02-17 00:56:39,83,445870666267,20.2686,0,0x00008000
2014-02-17 00:57:44,81,445870731265,19.7377,0,0x00008000
2014-02-17 00:58:49,122,445870796306,19.2067,0,0x00008000
2014-02-17 00:59:54,69,445870861253,18.9032,0,0x00008000
2014-02-17 01:00:59,103,445870926287,18.2198,0,0x00008000
2014-02-17 01:02:04,114,445870991298,17.6875,0,0x00008000
2014-02-17 01:03:09,93,445871056277,17.1543,0,0x00008000
2014-02-17 01:04:14,103,445871121287,16.62,0,0x00008000
2014-02-17 01:05:19,198,445871186382,16.3141,0,0x00008000
2014-02-17 01:06:24,185,445871251369,15.6241,0,0x00008000
2014-02-17 01:07:29,187,445871316371,15.1625,0,0x00008000
2014-02-17 01:08:34,192,445871381376,14.6995,0,0x00008000
2014-02-17 01:09:39,181,445871446365,14.3124,0,0x00008000
2014-02-17 01:10:44,205,445871511389,13.6906,0,0x00008000
2014-02-17 01:11:49,184,445871576368,13.3785,0,0x00008000
2014-02-17 01:12:54,229,445871641413,13.1437,0,0x00008000
2014-02-17 01:13:59,200,445871706384,12.7514,0,0x00008000
2014-02-17 01:15:04,236,445871771420,12.5152,0,0x00008000
2014-02-17 01:16:09,243,445871836427,12.3574,0,0x00008000
2014-02-17 01:17:14,250,445871901434,12.2784,0,0x00008000
2014-02-17 01:18:19,230,445871966414,12.1993,0,0x00008000
2014-02-17 01:19:24,341,445872031525,12.1202,0,0x00008000
2014-02-17 01:20:29,263,445872096447,12.041,0,0x00008000
2014-02-17 01:21:34,299,445872161483,11.8824,0,0x00008000
2014-02-17 01:22:39,306,445872226490,11.803,0,0x00008000
2014-02-17 01:23:44,310,445872291494,12.041,0,0x00008000
2014-02-17 01:24:49,292,445872356476,12.041,0,0x00008000
2014-02-17 01:25:54,348,445872421532,12.1202,0,0x00008000
