'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'AcsCycleCount,'AcsCycleTimeoutCount,'AcsCycleOasysCount,'AcsTlmTimeMax,'AcsTlmLast,'AcsTlmAve,'AcsOasysTimeMax,'AcsOasysLast,'AcsOasysAve,'AcsCycleTimeMax,'AcsCycleLast,'AcsCycleAve
2014-02-27 00:00:24,152,446731291336,135575,1813,134391,1876,518,476,10798,432,360,20229,1081,1058
2014-02-27 00:01:28,650,446731355834,135607,1813,134423,1876,455,476,10798,437,360,20229,1016,1058
2014-02-27 00:02:34,172,446731421356,135640,1813,134456,1876,455,476,10798,436,360,20229,1088,1058
2014-02-27 00:03:40,64,446731487248,135673,1813,134489,1876,476,476,10798,454,360,20229,1226,1058
2014-02-27 00:04:44,515,446731551699,135705,1813,134521,1876,454,476,10798,432,360,20229,1058,1058
2014-02-27 00:05:50,148,446731617332,135738,1813,134554,1876,462,476,10798,432,360,20229,1069,1058
2014-02-27 00:06:54,635,446731681819,135770,1813,134586,1876,456,476,10798,436,360,20229,1013,1058
2014-02-27 00:08:00,214,446731747398,135803,1813,134619,1876,452,476,10798,433,360,20229,1116,1058
2014-02-27 00:09:06,39,446731813223,135836,1813,134652,1876,474,476,10798,449,360,20229,1049,1058
2014-02-27 00:10:10,542,446731877726,135868,1813,134684,1876,454,476,10798,437,360,20229,1015,1058
2014-02-27 00:11:16,159,446731943343,135901,1813,134717,1876,516,476,10798,433,360,20229,1080,1058
2014-02-27 00:12:20,635,446732007819,135933,1813,134749,1876,453,476,10798,432,360,20229,1011,1058
2014-02-27 00:13:26,189,446732073373,135966,1813,134782,1876,452,476,10798,432,360,20229,1093,1058
2014-02-27 00:14:31,942,446732139126,135999,1813,134815,1876,459,476,10798,375,360,20229,959,1058
2014-02-27 00:15:36,482,446732203666,136031,1813,134847,1876,454,476,10798,440,360,20229,1061,1058
2014-02-27 00:16:42,159,446732269343,136064,1813,134880,1876,453,476,10798,438,360,20229,1065,1058
2014-02-27 00:17:46,605,446732333789,136096,1813,134912,1876,454,476,10798,432,360,20229,1009,1058
2014-02-27 00:18:52,91,446732399275,136129,1813,134945,1876,480,476,10798,400,360,20229,1006,1058
2014-02-27 00:19:56,584,446732463768,136161,1813,134977,1876,453,476,10798,395,360,20229,974,1058
2014-02-27 00:21:02,253,446732529437,136194,1813,135010,1876,452,476,10798,401,360,20229,1087,1058
2014-02-27 00:22:07,988,446732595172,136227,1813,135043,1876,472,476,10798,409,360,20229,1006,1058
2014-02-27 00:23:12,494,446732659678,136259,1813,135075,1876,453,476,10798,398,360,20229,973,1058
2014-02-27 00:24:18,136,446732725320,136292,1813,135108,1876,470,476,10798,398,360,20229,1041,1058
2014-02-27 00:25:22,606,446732789790,136324,1813,135140,1876,453,476,10798,398,360,20229,972,1058
2014-02-27 00:26:28,82,446732855266,136357,1813,135173,1876,531,476,10798,339,360,20229,1003,1058
2014-02-27 00:27:32,659,446732919843,136389,1813,135205,1876,453,476,10798,331,360,20229,932,1058
2014-02-27 00:28:38,138,446732985322,136422,1813,135238,1876,453,476,10798,336,360,20229,1031,1058
2014-02-27 00:29:43,968,446733051152,136455,1813,135271,1876,455,476,10798,339,360,20229,915,1058
2014-02-27 00:30:48,513,446733115697,136487,1813,135303,1876,453,476,10798,349,360,20229,930,1058
2014-02-27 00:31:54,77,446733181261,136520,1813,135336,1876,464,476,10798,345,360,20229,981,1058
2014-02-27 00:32:58,653,446733245837,136552,1813,135368,1876,454,476,10798,329,360,20229,906,1058
2014-02-27 00:34:04,85,446733311269,136585,1813,135401,1876,456,476,10798,333,360,20229,989,1058
2014-02-27 00:35:09,810,446733376994,136618,1813,135434,1876,597,476,10798,264,360,20229,986,1058
2014-02-27 00:36:14,101,446733441285,136650,1813,135466,1876,454,476,10798,265,360,20229,838,1058
2014-02-27 00:37:19,878,446733507062,136683,1813,135499,1876,459,476,10798,263,360,20229,843,1058
2014-02-27 00:38:24,457,446733571641,136715,1813,135531,1876,453,476,10798,331,360,20229,907,1058
2014-02-27 00:39:29,888,446733637072,136748,1813,135564,1876,476,476,10798,279,360,20229,1051,1058
2014-02-27 00:40:34,468,446733701652,136780,1813,135596,1876,453,476,10798,330,360,20229,909,1058
2014-02-27 00:41:39,972,446733767156,136813,1813,135629,1876,462,476,10798,339,360,20229,1096,1058
2014-02-27 00:42:44,521,446733831705,136845,1813,135661,1876,454,476,10798,330,360,20229,912,1058
2014-02-27 00:43:49,987,446733897171,136878,1813,135694,1876,478,476,10798,270,360,20229,877,1058
2014-02-27 00:44:54,597,446733961781,136910,1813,135726,1876,478,476,10798,285,360,20229,883,1058
2014-02-27 00:46:00,22,446734027206,136943,1813,135759,1876,453,476,10798,276,360,20229,943,1058
2014-02-27 00:47:05,899,446734093083,136976,1813,135792,1876,573,476,10798,331,360,20229,1072,1058
2014-02-27 00:48:10,384,446734157568,137008,1813,135824,1876,454,476,10798,399,360,20229,974,1058
2014-02-27 00:49:15,838,446734223022,137041,1813,135857,1876,605,476,10798,235,360,20229,962,1058
2014-02-27 00:50:20,446,446734287630,137073,1813,135889,1876,476,476,10798,235,360,20229,836,1058
2014-02-27 00:51:25,916,446734353100,137106,1813,135922,1876,460,476,10798,347,360,20229,932,1058
2014-02-27 00:52:30,483,446734417667,137138,1813,135954,1876,453,476,10798,271,360,20229,854,1058
2014-02-27 00:53:35,868,446734483052,137171,1813,135987,1876,463,476,10798,296,360,20229,884,1058
2014-02-27 00:54:40,564,446734547748,137203,1813,136019,1876,453,476,10798,331,360,20229,915,1058
2014-02-27 00:55:46,18,446734613202,137236,1813,136052,1876,484,476,10798,332,360,20229,950,1058
2014-02-27 00:56:51,271,446734678455,137269,1813,136084,1876,455,476,10798,264,360,20229,839,1058
2014-02-27 00:57:56,18,446734743202,137301,1813,136117,1876,454,476,10798,334,360,20229,930,1058
2014-02-27 00:59:01,742,446734808926,137334,1813,136150,1876,475,476,10798,265,360,20229,916,1058
2014-02-27 01:00:06,103,446734873287,137366,1813,136182,1876,453,476,10798,277,360,20229,851,1058
2014-02-27 01:01:11,914,446734939098,137399,1813,136215,1876,458,476,10798,330,360,20229,908,1058
2014-02-27 01:02:16,168,446735003352,137431,1813,136247,1876,454,476,10798,265,360,20229,886,1058
2014-02-27 01:03:21,937,446735069121,137464,1813,136280,1876,469,476,10798,337,360,20229,1101,1058
2014-02-27 01:04:26,411,446735133595,137496,1813,136312,1876,455,476,10798,270,360,20229,855,1058
2014-02-27 01:05:31,912,446735199096,137529,1813,136345,1876,472,476,10798,288,360,20229,1060,1058
2014-02-27 01:06:36,489,446735263673,137561,1813,136377,1876,453,476,10798,266,360,20229,840,1058
2014-02-27 01:07:42,4,446735329188,137594,1813,136410,1876,455,476,10798,265,360,20229,892,1058
2014-02-27 01:08:46,622,446735393806,137626,1813,136442,1876,453,476,10798,262,360,20229,838,1058
2014-02-27 01:09:52,174,446735459358,137659,1813,136475,1876,454,476,10798,329,360,20229,1055,1058
2014-02-27 01:10:57,871,446735525055,137692,1813,136508,1876,604,476,10798,331,360,20229,839,1058
2014-02-27 01:12:02,138,446735589322,137724,1813,136540,1876,452,476,10798,264,359,20229,887,1058
2014-02-27 01:13:07,867,446735655051,137757,1813,136573,1876,543,476,10798,266,359,20229,981,1058
2014-02-27 01:14:12,205,446735719389,137789,1813,136605,1876,453,476,10798,332,359,20229,915,1058
2014-02-27 01:15:18,27,446735785211,137822,1813,136638,1876,462,476,10798,403,359,20229,1035,1058
2014-02-27 01:16:22,452,446735849636,137854,1813,136670,1876,455,476,10798,400,359,20229,978,1058
2014-02-27 01:17:27,949,446735915133,137887,1813,136703,1876,461,476,10798,338,359,20229,930,1058
2014-02-27 01:18:32,564,446735979748,137919,1813,136735,1876,453,476,10798,344,359,20229,917,1058
2014-02-27 01:19:38,37,446736045221,137952,1813,136768,1876,459,476,10798,331,359,20229,925,1058
2014-02-27 01:20:42,554,446736109738,137984,1813,136800,1876,454,476,10798,401,359,20229,975,1058
2014-02-27 01:21:48,120,446736175304,138017,1813,136833,1876,470,476,10798,395,359,20229,1037,1058
2014-02-27 01:22:52,634,446736239818,138049,1813,136865,1876,453,476,10798,395,359,20229,972,1058
2014-02-27 01:23:58,125,446736305309,138082,1813,136898,1876,453,476,10798,391,359,20229,1051,1058
2014-02-27 01:25:03,988,446736371172,138115,1813,136931,1876,466,476,10798,414,359,20229,1005,1058
2014-02-27 01:26:08,556,446736435740,138147,1813,136963,1876,453,476,10798,368,359,20229,942,1058
2014-02-27 01:27:14,160,446736501344,138180,1813,136996,1876,510,476,10798,441,360,20229,1082,1058
